100 atkartojumi | Agregatvaicajums: MEAN(Global_active_power)
Atkartojums 84: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 85: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 86: Rezultats: 1.0916150365006256 | Laiks: 0.20 s
Atkartojums 87: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 88: Rezultats: 1.0916150365006256 | Laiks: 0.20 s
Atkartojums 89: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 90: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 91: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 92: Rezultats: 1.0916150365006256 | Laiks: 0.24 s
Atkartojums 93: Rezultats: 1.0916150365006256 | Laiks: 0.22 s
Atkartojums 94: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 95: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 96: Rezultats: 1.0916150365006256 | Laiks: 0.21 s
Atkartojums 97: Rezultats: 1.0916150365006256 | Laiks: 0.22 s
Atkartojums 98: Rezultats: 1.0916150365006256 | Laiks: 0.24 s
Atkartojums 99: Rezultats: 1.0916150365006256 | Laiks: 0.23 s
Atkartojums 100: Rezultats: 1.0916150365006256 | Laiks: 0.25 s
