100 atkartojumi | Agregatvaicajums: AVG(global_active_power)
Atkartojums 89: Videja vertiba: 1.0916 | Laiks: 0.24 s
Atkartojums 90: Videja vertiba: 1.0916 | Laiks: 0.26 s
Atkartojums 91: Videja vertiba: 1.0916 | Laiks: 0.24 s
Atkartojums 92: Videja vertiba: 1.0916 | Laiks: 0.24 s
Atkartojums 93: Videja vertiba: 1.0916 | Laiks: 0.24 s
Atkartojums 94: Videja vertiba: 1.0916 | Laiks: 0.24 s
Atkartojums 95: Videja vertiba: 1.0916 | Laiks: 0.25 s
Atkartojums 96: Videja vertiba: 1.0916 | Laiks: 0.25 s
Atkartojums 97: Videja vertiba: 1.0916 | Laiks: 0.28 s
Atkartojums 98: Videja vertiba: 1.0916 | Laiks: 0.29 s
Atkartojums 99: Videja vertiba: 1.0916 | Laiks: 0.29 s
Atkartojums 100: Videja vertiba: 1.0916 | Laiks: 0.29 s
